epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
147,309.363,0.01315,0.93103,1,0.34229,0.00010546,0.00010546,0.00010546
148,311.574,0.02739,0.93103,1,0.37805,0.00010447,0.00010447,0.00010447
149,313.582,0.03066,0.93103,1,0.37415,0.00010348,0.00010348,0.00010348
150,315.58,0.0248,0.93103,1,0.3786,0.00010249,0.00010249,0.00010249
151,317.703,0.03497,0.93103,1,0.37799,0.0001015,0.0001015,0.0001015
152,319.781,0.0066,0.93103,1,0.40637,0.00010051,0.00010051,0.00010051
153,321.722,0.00627,0.93103,1,0.39734,9.952e-05,9.952e-05,9.952e-05
154,323.679,0.01536,0.93103,1,0.42102,9.853e-05,9.853e-05,9.853e-05
155,325.665,0.00719,0.93103,1,0.39539,9.754e-05,9.754e-05,9.754e-05
156,327.677,0.02983,0.94828,1,0.46304,9.655e-05,9.655e-05,9.655e-05
157,330.095,0.0117,0.93103,1,0.4494,9.556e-05,9.556e-05,9.556e-05
158,332.168,0.02133,0.93103,1,0.4021,9.457e-05,9.457e-05,9.457e-05
159,334.074,0.02057,0.91379,1,0.3913,9.358e-05,9.358e-05,9.358e-05
160,336.26,0.01445,0.89655,1,0.43042,9.259e-05,9.259e-05,9.259e-05
161,338.12,0.0255,0.93103,1,0.38306,9.16e-05,9.16e-05,9.16e-05
162,340.177,0.01157,0.91379,1,0.37317,9.061e-05,9.061e-05,9.061e-05
163,342.119,0.02202,0.93103,1,0.37415,8.962e-05,8.962e-05,8.962e-05
164,344.183,0.03695,0.93103,1,0.341,8.863e-05,8.863e-05,8.863e-05
165,346.236,0.02088,0.93103,1,0.3634,8.764e-05,8.764e-05,8.764e-05
166,348.317,0.03753,0.93103,1,0.33554,8.665e-05,8.665e-05,8.665e-05
167,350.395,0.04238,0.93103,1,0.32028,8.566e-05,8.566e-05,8.566e-05
168,352.407,0.02457,0.93103,1,0.32379,8.467e-05,8.467e-05,8.467e-05
169,354.429,0.03253,0.93103,1,0.33051,8.368e-05,8.368e-05,8.368e-05
170,356.401,0.01896,0.93103,1,0.30759,8.269e-05,8.269e-05,8.269e-05
171,358.332,0.00732,0.93103,1,0.30591,8.17e-05,8.17e-05,8.17e-05
172,360.425,0.01078,0.93103,1,0.32605,8.071e-05,8.071e-05,8.071e-05
173,362.43,0.00635,0.93103,1,0.30936,7.972e-05,7.972e-05,7.972e-05
174,364.451,0.0096,0.93103,1,0.31897,7.873e-05,7.873e-05,7.873e-05
175,366.544,0.01616,0.93103,1,0.32117,7.774e-05,7.774e-05,7.774e-05
176,368.603,0.01682,0.91379,1,0.33203,7.675e-05,7.675e-05,7.675e-05
177,370.562,0.00903,0.93103,1,0.33557,7.576e-05,7.576e-05,7.576e-05
178,372.56,0.01185,0.91379,1,0.30066,7.477e-05,7.477e-05,7.477e-05
179,374.445,0.02152,0.91379,1,0.34241,7.378e-05,7.378e-05,7.378e-05
180,376.364,0.03203,0.91379,1,0.33398,7.279e-05,7.279e-05,7.279e-05
181,378.372,0.00849,0.91379,1,0.29889,7.18e-05,7.18e-05,7.18e-05
182,380.595,0.01202,0.91379,1,0.32639,7.081e-05,7.081e-05,7.081e-05
183,382.776,0.01437,0.91379,1,0.33215,6.982e-05,6.982e-05,6.982e-05
184,384.946,0.01006,0.91379,1,0.34253,6.883e-05,6.883e-05,6.883e-05
185,386.971,0.02333,0.91379,1,0.30099,6.784e-05,6.784e-05,6.784e-05
186,389,0.01629,0.93103,1,0.31909,6.685e-05,6.685e-05,6.685e-05
187,391.037,0.00634,0.93103,1,0.30774,6.586e-05,6.586e-05,6.586e-05
188,393.068,0.00896,0.93103,1,0.34605,6.487e-05,6.487e-05,6.487e-05
189,394.996,0.02609,0.91379,1,0.29134,6.388e-05,6.388e-05,6.388e-05
190,397.168,0.03135,0.93103,1,0.31439,6.289e-05,6.289e-05,6.289e-05
